filename,subject,format,prompt
"vectaryx_app-icon.png","Ícono de la app Vectaryx: símbolo que fusiona sutilmente un plato/mesa con una señal digital o un código QR","1:1","SUJETO: Ícono de la app Vectaryx: símbolo que fusiona sutilmente un plato/mesa con una señal digital o un código QR. ESTILO: Identidad visual para una app tecnológica de restaurantes (menú digital y pedidos): símbolo geométrico limpio, moderno, memorable y escalable, paleta sobria, fondo simple, sin texto salvo que se indique. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_logo-simbolo.png","Símbolo de marca Vectaryx aislado, limpio y escalable, para cabeceras","1:1","SUJETO: Símbolo de marca Vectaryx aislado, limpio y escalable, para cabeceras. ESTILO: Identidad visual para una app tecnológica de restaurantes (menú digital y pedidos): símbolo geométrico limpio, moderno, memorable y escalable, paleta sobria, fondo simple, sin texto salvo que se indique. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_hero-landing.png","Ilustración hero para la landing: un comensal en la mesa escanea el QR con el celular y ve el menú digital","16:9","SUJETO: Ilustración hero para la landing: un comensal en la mesa escanea el QR con el celular y ve el menú digital. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_onboarding-escanear.png","Ilustración de onboarding: escanear el código QR de la mesa con el celular","1:1","SUJETO: Ilustración de onboarding: escanear el código QR de la mesa con el celular. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_onboarding-pedir.png","Ilustración de onboarding: elegir platos en el menú del celular y armar el pedido","1:1","SUJETO: Ilustración de onboarding: elegir platos en el menú del celular y armar el pedido. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_onboarding-pagar.png","Ilustración de onboarding: pagar el pedido desde el celular con billetera digital","1:1","SUJETO: Ilustración de onboarding: pagar el pedido desde el celular con billetera digital. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-ceviches.png","Ícono de categoría Ceviches y pescados: pez con una rodaja de limón","1:1","SUJETO: Ícono de categoría Ceviches y pescados: pez con una rodaja de limón. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-piqueos.png","Ícono de categoría Piqueos y entradas: tabla de bocaditos para compartir","1:1","SUJETO: Ícono de categoría Piqueos y entradas: tabla de bocaditos para compartir. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-sopas.png","Ícono de categoría Sopas y caldos: plato hondo humeante con cuchara","1:1","SUJETO: Ícono de categoría Sopas y caldos: plato hondo humeante con cuchara. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-causas.png","Ícono de categoría Causas: molde de causa peruana en capas","1:1","SUJETO: Ícono de categoría Causas: molde de causa peruana en capas. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
