filename,subject,format,prompt
"vectaryx_placeholder-fondo.png","Placeholder ilustrado de un plato de fondo genérico","1:1","SUJETO: Placeholder ilustrado de un plato de fondo genérico. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_placeholder-bebida.png","Placeholder ilustrado de una bebida genérica en vaso","1:1","SUJETO: Placeholder ilustrado de una bebida genérica en vaso. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_placeholder-postre.png","Placeholder ilustrado de un postre genérico","1:1","SUJETO: Placeholder ilustrado de un postre genérico. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_placeholder-pizza.png","Placeholder ilustrado de una pizza genérica","1:1","SUJETO: Placeholder ilustrado de una pizza genérica. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_placeholder-cafe.png","Placeholder ilustrado de una taza de café genérica","1:1","SUJETO: Placeholder ilustrado de una taza de café genérica. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_placeholder-generico.png","Placeholder ilustrado de un plato genérico con cubiertos","1:1","SUJETO: Placeholder ilustrado de un plato genérico con cubiertos. ESTILO: Ilustración plana moderna, amigable y limpia, estilo editorial de app, paleta neutra suave con un único acento, formas simples, mucho aire, composición centrada, fondo claro, sin texto, sin logotipos ni marcas. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_banner-cevicheria.png","Portada de cevichería costeña peruana: mariscos frescos, ambiente marino luminoso","16:9","SUJETO: Portada de cevichería costeña peruana: mariscos frescos, ambiente marino luminoso. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-polleria.png","Portada de pollería: pollo a la brasa dorado y papas","16:9","SUJETO: Portada de pollería: pollo a la brasa dorado y papas. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-chifa.png","Portada de chifa: platos al wok y ambiente oriental cálido","16:9","SUJETO: Portada de chifa: platos al wok y ambiente oriental cálido. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-criollo.png","Portada de comida criolla peruana: lomo saltado y arroz, mesa cálida","16:9","SUJETO: Portada de comida criolla peruana: lomo saltado y arroz, mesa cálida. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
