filename,subject,format,prompt
"punto-azul_wantan-de-pescado-docena.png","Wantán de pescado (docena) (Piqueos y Ensaladas): Pescado en aceite de ajonjolí envuelto en wantán crocante. Ingredientes: Pescado, Wantán, Ajonjolí.","1:1","SUJETO: Wantán de pescado (docena) (Piqueos y Ensaladas): Pescado en aceite de ajonjolí envuelto en wantán crocante. Ingredientes: Pescado, Wantán, Ajonjolí. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_wantan-de-pescado-media-docena.png","Wantán de pescado (½ docena) (Piqueos y Ensaladas): Pescado en aceite de ajonjolí envuelto en wantán crocante. Ingredientes: Pescado, Wantán, Ajonjolí.","1:1","SUJETO: Wantán de pescado (½ docena) (Piqueos y Ensaladas): Pescado en aceite de ajonjolí envuelto en wantán crocante. Ingredientes: Pescado, Wantán, Ajonjolí. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-punto-azul.png","Ceviche Punto Azul (Ceviches y Tiraditos): De pescado o mixto, bañado en una deliciosa salsa de rocoto. Ingredientes: Pescado, Rocoto, Limón.","1:1","SUJETO: Ceviche Punto Azul (Ceviches y Tiraditos): De pescado o mixto, bañado en una deliciosa salsa de rocoto. Ingredientes: Pescado, Rocoto, Limón. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-ahumado.png","Ceviche ahumado (Ceviches y Tiraditos): Pescado al ají amarillo flambeado al wok, pulpo emparrillado, choclo, camote glaseado y palta rostizada. Ingredientes: Pescado, Ají amarillo, Pulpo, Camote.","1:1","SUJETO: Ceviche ahumado (Ceviches y Tiraditos): Pescado al ají amarillo flambeado al wok, pulpo emparrillado, choclo, camote glaseado y palta rostizada. Ingredientes: Pescado, Ají amarillo, Pulpo, Camote. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-criollo-de-pescado.png","Ceviche criollo de pescado (Ceviches y Tiraditos): Inspirado en los sabores de la Lima antigua, aromatizado con culantrito y ají limo. Ingredientes: Pescado, Culantro, Ají limo.","1:1","SUJETO: Ceviche criollo de pescado (Ceviches y Tiraditos): Inspirado en los sabores de la Lima antigua, aromatizado con culantrito y ají limo. Ingredientes: Pescado, Culantro, Ají limo. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-criollo-mixto.png","Ceviche criollo mixto (Ceviches y Tiraditos): Versión mixta, inspirada en los sabores de la Lima antigua con culantrito y ají limo. Ingredientes: Mariscos, Culantro, Ají limo.","1:1","SUJETO: Ceviche criollo mixto (Ceviches y Tiraditos): Versión mixta, inspirada en los sabores de la Lima antigua con culantrito y ají limo. Ingredientes: Mariscos, Culantro, Ají limo. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-de-conchas-negras.png","Ceviche de conchas negras (Ceviches y Tiraditos): 10 unidades de frescas y jugosas conchas negras con toques de culantrito y limón. Ingredientes: Conchas negras, Culantro, Ají limo.","1:1","SUJETO: Ceviche de conchas negras (Ceviches y Tiraditos): 10 unidades de frescas y jugosas conchas negras con toques de culantrito y limón. Ingredientes: Conchas negras, Culantro, Ají limo. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-de-pescado.png","Ceviche de pescado (Ceviches y Tiraditos): Pescado, sal, limón y ajíes. Emblema de nuestra cocina peruana. Ingredientes: Pescado, Limón, Ají, Cebolla.","1:1","SUJETO: Ceviche de pescado (Ceviches y Tiraditos): Pescado, sal, limón y ajíes. Emblema de nuestra cocina peruana. Ingredientes: Pescado, Limón, Ají, Cebolla. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-de-pescado-y-pulpo.png","Ceviche de pescado y pulpo (Ceviches y Tiraditos): Tradicional ceviche acompañado de tiernas láminas de pulpo. Ingredientes: Pescado, Pulpo, Limón.","1:1","SUJETO: Ceviche de pescado y pulpo (Ceviches y Tiraditos): Tradicional ceviche acompañado de tiernas láminas de pulpo. Ingredientes: Pescado, Pulpo, Limón. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-oriental-de-pescado.png","Ceviche oriental de pescado (Ceviches y Tiraditos): Ceviche que rinde homenaje a la cultura Nikkei, con toques de aceite de ajonjolí y cebollita china. Ingredientes: Pescado, Ajonjolí, Cebollita china.","1:1","SUJETO: Ceviche oriental de pescado (Ceviches y Tiraditos): Ceviche que rinde homenaje a la cultura Nikkei, con toques de aceite de ajonjolí y cebollita china. Ingredientes: Pescado, Ajonjolí, Cebollita china. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
